# Файл содержит русские синсеты, вычисляемые по данным Универсального словаря концептов UNL		
# Публикуется под СС-BY-SA		
# синсет	комментарий	список составляющих синсет UW
#		
# This file contains Russian synsets derived from the U++ UNL Universal Dictionary of Concepts		
# It is published under the terms of СС-BY-SA		
# Format:
# synset	comment	list of UWs which make up the synset		
		
мелодичный,напевный	"RICHLY MELODIOUS"	canorous(icl>adj)+songful(icl>adj,equ>canorous)
прихотливый,своенравный	"HAVING A DIFFICULT AND CONTRARY DISPOSITION"	cantankerous(icl>adj)+crotchety(icl>adj,equ>cantankerous)
кантата,оратория	"A MUSICAL COMPOSITION FOR VOICES AND ORCHESTRA BASED ON A RELIGIOUS TEXT"	cantata(icl>classical_music>thing)+oratorio(icl>classical_music>thing,equ>cantata)
кентер,припрыжка	"A SMOOTH THREE-BEAT GAIT"	canter(icl>gait>thing)+lope(icl>gait>thing,equ>canter)
Гуанчжоу,Кантон	"A CITY ON THE ZHU JIANG DELTA IN SOUTHERN CHINA"	canton(iof>city>thing,equ>guangzhou)+guangzhou(iof>city>thing)
изучать,рассматривать	"CONSIDER IN DETAIL AND SUBJECT TO AN ANALYSIS IN ORDER TO DISCOVER ESSENTIAL FEATURES OR MEANING","CONSIDER OR EXAMINE IN DETAIL","INVESTIGATE OR SUBJECT TO AN ANALYSIS"	canvas(icl>do,equ>analyze,agt>thing,obj>thing)+canvass(icl>do,equ>analyze,agt>thing,obj>thing)+examine(icl>study>do,agt>volitional_thing,obj>thing)+study(icl>examine>do,agt>person,obj>thing)
каучук,резина	"AN ELASTIC MATERIAL OBTAINED FROM THE LATEX SAP OF TREES (ESPECIALLY TREES OF THE GENERA HEVEA AND FICUS) THAT CAN BE VULCANIZED AND FINISHED INTO A VARIETY OF PRODUCTS"	caoutchouc(icl>latex>thing,equ>rubber)+rubber(icl>latex>thing)
коронка,кронверк	"DENTAL APPLIANCE CONSISTING OF AN ARTIFICIAL CROWN FOR A TOOTH"	cap(icl>dental_appliance>thing,equ>crownwork)+crownwork(icl>dental_appliance>thing)
детонатор,пистон	"A MECHANICAL OR ELECTRICAL EXPLOSIVE DEVICE OR A SMALL AMOUNT OF EXPLOSIVE"	cap(icl>explosive_device>thing,equ>detonator)+detonator(icl>explosive_device>thing)
венчать,увенчивать	"LIE AT THE TOP OF"	cap(icl>lie>be,cob>thing,obj>thing,aoj>thing)+crest(icl>lie>be,equ>cap,obj>thing,aoj>thing)
потенциал,способность	"AN APTITUDE THAT MAY BE DEVELOPED"	capability(icl>aptitude>thing,ant>incapability)+potentiality(icl>aptitude>thing,equ>capability,ant>incapability)
восприимчивость,подверженность	"THE SUSCEPTIBILITY OF SOMETHING TO A PARTICULAR TREATMENT"	capability(icl>susceptibility>thing)+capacity(icl>susceptibility>thing,equ>capability)
допускающий,подверженный	"POSSIBLY ACCEPTING OR PERMITTING"	capable(icl>adj)+open(icl>adj,equ>capable)+subject(icl>adj,equ>capable)
емкость,конденсатор	"AN ELECTRICAL DEVICE CHARACTERIZED BY ITS CAPACITY TO STORE AN ELECTRIC CHARGE"	capacitance(icl>electrical_device>thing,equ>capacitor)+capacitor(icl>electrical_device>thing)+condenser(icl>electrical_device>thing,equ>capacitor)
объем,ёмкость	"(COMPUTER SCIENCE) THE AMOUNT OF INFORMATION  (IN BYTES) THAT CAN BE STORED ON A DISK DRIVE"	capacity(icl>indefinite_quantity>thing)
вместимость,вместительность	"THE AMOUNT THAT CAN BE CONTAINED"	capacity(icl>volume>thing)+content(icl>volume>thing,equ>capacity)
веселье,дурачество,шалость	"GAY OR LIGHT-HEARTED RECREATIONAL ACTIVITY FOR DIVERSION OR AMUSEMENT"	caper(icl>diversion>thing,equ>play)+frolic(icl>diversion>thing,equ>play)+gambol(icl>diversion>thing,equ>play)+romp(icl>diversion>thing,equ>play)
падение,сдача	"THE ACT OF SURRENDERING","THE ACT OF SURRENDERING (UNDER AGREED CONDITIONS)"	capitulation(icl>loss>thing)+fall(icl>loss>thing,equ>capitulation)+surrender(icl>loss>thing,equ>capitulation)
импульс,каприз,порыв,прихоть	"A SUDDEN DESIRE"	caprice(icl>desire>thing)+impulse(icl>desire>thing,equ>caprice)+whim(icl>desire>thing,equ>caprice)
козлиный,козлоподобный	"BEING OR PERTAINING TO OR RESEMBLING A GOAT OR GOATS"	caprine(icl>adj,com>goat)
перец,стручковый перец	"ANY OF VARIOUS TROPICAL PLANTS OF THE GENUS CAPSICUM BEARING PEPPERS"	capsicum(icl>shrub>thing)+pepper(icl>shrub>thing,equ>capsicum)
капитан,командир корабля	"THE NAVAL OFFICER IN COMMAND OF A MILITARY SHIP"	captain(icl>commissioned_naval_officer>thing)+skipper(icl>commissioned_naval_officer>thing,equ>captain)
вожак,вождь	"THE LEADER OF A GROUP OF PEOPLE"	captain(icl>leader>thing)+chieftain(icl>leader>thing,equ>captain)
капитан,шкипер	"AN OFFICER WHO IS LICENSED TO COMMAND A MERCHANT SHIP"	captain(icl>officer>thing,equ>master)+master(icl>officer>thing)+skipper(icl>officer>thing,equ>master)
легенда,подпись	"BRIEF DESCRIPTION ACCOMPANYING AN ILLUSTRATION"	caption(icl>title>thing)+legend(icl>title>thing,equ>caption)
очарование,увлеченность	"A FEELING OF GREAT LIKING FOR SOMETHING WONDERFUL AND UNUSUAL"	captivation(icl>liking>thing)+enchantment(icl>liking>thing,equ>captivation)+enthrallment(icl>liking>thing,equ>captivation)+fascination(icl>liking>thing,equ>captivation)
захваченный,очарованный,пристальный	"GIVING OR MARKED BY COMPLETE ATTENTION TO"	captive(icl>adj)+intent(icl>adj,equ>captive)
арестант,заключенный,заключённый,зек,зк,пленник,пленный,узник	"A PERSON WHO IS CONFINED"	captive(icl>unfortunate>thing,equ>prisoner)+prisoner(icl>unfortunate>thing)
заключение,заточение,неволя,плен,тюремное заключение	"THE STATE OF BEING IMPRISONED"	captivity(icl>confinement>thing)+imprisonment(icl>confinement>thing,equ>captivity)+incarceration(icl>confinement>thing,equ>captivity)
неволя,плен	"THE STATE OF BEING A SLAVE"	captivity(icl>subjugation>thing,equ>enslavement)+enslavement(icl>subjugation>thing)
поймать,схватывать	"SUCCEED IN CATCHING","SUCCEED IN CATCHING OR SEIZING, ESPECIALLY AFTER A CHASE"	capture(icl>do,equ>catch,plf>uw,agt>thing,obj>thing,ins>uw)+get(icl>do,equ>sieze,agt>living_thing,obj>thing)
захват,похищение	"THE ACT OF TAKING OF A PERSON BY FORCE"	capture(icl>felony>thing)+seizure(icl>felony>thing,equ>capture)
завоевывать,захватывать	"TAKE CONTROL OF A PLACE SUDDENLY AND QUICKLY, USING MILITARY FORCE","TAKE POSSESSION OF BY FORCE, AS AFTER AN INVASION"	capture(icl>take_over>do,plf>thing,agt>volitional_thing,obj>thing,met>uw)+conquer(icl>assume>do,equ>appropriate,agt>thing,obj>thing)+seize(icl>capture>do,agt>volitional_thing,obj>concrete_thing,cag>thing,met>thing)
вагон,дрезина	"A WHEELED VEHICLE ADAPTED TO THE RAILS OF RAILROAD"	car(icl>wheeled_vehicle>thing)+railcar(icl>wheeled_vehicle>thing,equ>car)
автодом,жилой прицеп,караван	"A CAMPER EQUIPPED WITH LIVING QUARTERS"	caravan(icl>camper>thing,equ>van)+van(icl>camper>thing)
сахар,сахарид,углевод	"AN ESSENTIAL STRUCTURAL COMPONENT OF LIVING CELLS AND SOURCE OF ENERGY FOR ANIMALS"	carbohydrate(icl>macromolecule>thing)+saccharide(icl>macromolecule>thing,equ>carbohydrate)+sugar(icl>macromolecule>thing,equ>carbohydrate)
копия,синька	"A COPY MADE WITH CARBON PAPER"	carbon(icl>copy>thing)
копирка,копировальная бумага	"A THIN PAPER COATED ON ONE SIDE WITH A DARK WAXY SUBSTANCE (OFTEN CONTAINING CARBON)"	carbon(icl>paper>thing,equ>carbon_paper)
углеродистый,углеродный,угольный	"RELATING TO OR CONSISTING OF OR YIELDING CARBON"	carbonaceous(icl>adj,com>carbon)+carbonic(icl>adj,equ>carbonaceous,com>carbon)+carboniferous(icl>adj,equ>carbonaceous,com>carbon)
билет,идентификационная карточка	"A CARD CERTIFYING THE IDENTITY OF THE BEARER"	card(icl>positive_identification>thing)
вельш корги кардиган,кардиган	"SLIGHTLY BOWLEGGED VARIETY OF CORGI HAVING ROUNDED EARS AND A LONG TAIL"	cardigan(icl>corgi>thing)
кардинальный,ключевой,основной,фундаментальный,центральный	"SERVING AS AN ESSENTIAL COMPONENT","serving as an essential component"	cardinal(icl>adj)+central(icl>adj,equ>cardinal)+fundamental(icl>adj,equ>cardinal)+key(icl>adj,equ>cardinal)+primal(icl>adj,equ>cardinal)
кардинальность,мощность множества	"THE NUMBER OF ELEMENTS IN A MATHEMATICAL SET"	cardinal(icl>number>thing,equ>cardinal_number)
кармин,пунцовый	"A VARIABLE COLOR AVERAGING A VIVID RED"	cardinal(icl>red>thing)+carmine(icl>red>thing,equ>cardinal)
кардиограмма,электрокардиограмма	"A GRAPHICAL RECORDING OF THE CARDIAC CYCLE PRODUCED BY AN ELECTROCARDIOGRAPH"	cardiogram(icl>graph>thing,equ>electrocardiogram)+electrocardiogram(icl>graph>thing)
кардиография,электрокардиография	"DIAGNOSTIC PROCEDURE CONSISTING OF RECORDING THE ACTIVITY OF THE HEART ELECTRONICALLY WITH A CARDIOGRAPH (AND PRODUCING A CARDIOGRAM)"	cardiography(icl>diagnostic_procedure>thing)+electrocardiography(icl>diagnostic_procedure>thing,equ>cardiography)
кардиоваскулярный,сердечно-сосудистый	"OF OR PERTAINING TO OR INVOLVING THE HEART AND BLOOD VESSELS"	cardiovascular(icl>adj,com>blood_vessel)
беспокойство,забота,опасение	"AN ANXIOUS FEELING"	care(icl>anxiety>thing,equ>concern)+concern(icl>anxiety>thing)+fear(icl>anxiety>thing,equ>concern)
осторожность,предосторожность,предусмотрительность	"JUDICIOUSNESS IN AVOIDING HARM OR DANGER"	care(icl>judiciousness>thing,equ>caution)+caution(icl>judiciousness>thing)+forethought(icl>judiciousness>thing,equ>caution)+precaution(icl>judiciousness>thing,equ>caution)
забота,опека,опекунство,ответственность,попечительство	"ATTENTION AND MANAGEMENT IMPLYING RESPONSIBILITY FOR SAFETY"	care(icl>protection>thing)+charge(icl>abstract_thing,equ>responsibility,agt<thing,obj>thing)+guardianship(icl>protection>thing,equ>care)+tutelage(icl>protection>thing,equ>care)
забота,содержание	"ACTIVITY INVOLVED IN MAINTAINING SOMETHING IN GOOD WORKING ORDER"	care(icl>repair>thing)+maintenance(icl>repair>thing,equ>care)+upkeep(icl>repair>thing,equ>care)
занятие,карьера,профессия	"THE PARTICULAR OCCUPATION FOR WHICH YOU ARE TRAINED"	career(icl>occupation>thing)+vocation(icl>occupation>thing,equ>career)
внимательный,осторожный,тщательный	"EXERCISING CAUTION OR SHOWING CARE OR ATTENTION"	careful(icl>adj,ant>careless)
беспечно,невнимательно	"WITHOUT CARE OR CONCERN"	carelessly(icl>how,com>careless)+heedlessly(icl>how,equ>carelessly,com>heedless)
безалаберность,небрежность,неосторожность	"FAILURE TO ACT WITH THE PRUDENCE THAT A REASONABLE PERSON WOULD EXERCISE UNDER THE SAME CIRCUMSTANCES"	carelessness(icl>nonaccomplishment>thing,equ>negligence)+neglect(icl>nonaccomplishment>thing,equ>negligence)+negligence(icl>nonaccomplishment>thing)
изможденный,измученный	"SHOWING THE WEARING EFFECTS OF OVERWORK OR CARE OR SUFFERING"	careworn(icl>adj)+haggard(icl>adj,equ>careworn)
груз,загрузка,фрахт	"GOODS CARRIED BY A LARGE VEHICLE"	cargo(icl>merchandise>thing)+consignment(icl>merchandise>thing,equ>cargo)+freight(icl>merchandise>thing,equ>cargo)+lading(icl>merchandise>thing,equ>cargo)+load(icl>merchandise>thing,equ>cargo)+loading(icl>merchandise>thing,equ>cargo)+payload(icl>merchandise>thing,equ>cargo)+shipment(icl>merchandise>thing,equ>cargo)
карибу,северный олень	"ARCTIC DEER WITH LARGE ANTLERS IN BOTH SEXES"	caribou(icl>deer>thing)+reindeer(icl>deer>thing,equ>caribou)
беспокоить,переполошить,тревожить	"CAUSE TO BE WORRIED OR ALARMED","DISTURB IN MIND OR MAKE UNEASY OR CAUSE TO BE WORRIED OR ALARMED"	cark(icl>disturb>do,equ>perturb,agt>thing,obj>thing)+disorder(icl>disturb>do,equ>perturb,agt>thing,obj>thing)+disquiet(icl>disturb>do,equ>perturb,agt>thing,obj>thing)+distract(icl>perplex>be,obj>thing,aoj>person)+perturb(icl>disturb>do,agt>thing,obj>thing)+trouble(icl>worry>be,com>feeling,obj>person,aoj>thing,met>thing)+unhinge(icl>disturb>do,equ>perturb,agt>thing,obj>thing)
багряный,красноватый,пунцовый,рубиновый,светло-вишневый	"OF A COLOR AT THE END OF THE COLOR SPECTRUM (NEXT TO ORANGE)"	carmine(icl>adj,equ>red)+cerise(icl>adj,equ>red)+crimson(icl>adj,equ>red)+reddish(icl>adj,equ>red)+ruby(icl>adj,equ>red)+ruddy(icl>adj,equ>red)
плотоядное животное,хищник	"A TERRESTRIAL OR AQUATIC FLESH-EATING MAMMAL"	carnivore(icl>placental>thing)
бесчинствовать,пьянствовать	"ENGAGE IN BOISTEROUS, DRUNKEN MERRYMAKING"	carouse(icl>revel>do,agt>thing)+riot(icl>revel>do,equ>carouse,agt>thing)+roister(icl>revel>do,equ>carouse,agt>volitional_thing)
пестик,плодолистик	"A SIMPLE PISTIL OR ONE ELEMENT OF A COMPOUND PISTIL"	carpel(icl>pistil>thing)
плотничанье,плотничество	"THE CRAFT OF A CARPENTER: MAKING THINGS OUT OF WOOD"	carpentry(icl>trade>thing)+woodwork(icl>trade>thing,equ>carpentry)
кляузный,язвительный	"QUIBBLING OVER INSIGNIFICANT DETAILS"	carping(icl>adj,equ>caviling)+pettifogging(icl>adj,equ>caviling)
карета,экипаж	"A VEHICLE WITH WHEELS DRAWN BY ONE OR MORE HORSES"	carriage(icl>horse-drawn_vehicle>thing)+equipage(icl>horse-drawn_vehicle>thing,equ>carriage)+rig(icl>horse-drawn_vehicle>thing,equ>carriage)
детская коляска,коляска	"A SMALL VEHICLE WITH FOUR WHEELS IN WHICH A BABY OR CHILD IS PUSHED AROUND"	carriage(icl>wheeled_vehicle>thing,equ>baby_buggy)+perambulator(icl>wheeled_vehicle>thing,equ>baby_buggy)+pram(icl>wheeled_vehicle>thing,equ>baby_buggy)+pushchair(icl>wheeled_vehicle>thing,equ>baby_buggy)+pusher(icl>wheeled_vehicle>thing,equ>baby_buggy)+stroller(icl>wheeled_vehicle>thing,equ>baby_buggy)
почтальонка,почтальонша	"A WOMAN WHO DELIVERS THE MAIL"	carrier(icl>deliveryman>thing,equ>mailman,mod>female)
нести,передавать,проводить	"SERVE AS MEDIUM FOR TRANSMISSION","SERVE AS THE MEDIUM FOR TRANSMISSION","TRANSMIT OR SERVE AS THE MEDIUM FOR TRANSMISSION"	carry(icl>be,equ>conduct,obj>thing,aoj>thing)+conduct(icl>convey>be,equ>channel,obj>thing,aoj>matter)+transmit(icl>bring>do,equ>conduct,agt>thing,obj>thing)
склонять,убеждать	"WIN AN ELECTION","WIN APPROVAL OR SUPPORT FOR"	carry(icl>do,equ>win,plt>thing,plf>thing,agt>thing,obj>place)+persuade(icl>convince>do,agt>thing,obj>volitional_thing,gol>thing)+sway(icl>influence>do,agt>volitional_thing,obj>volitional_thing,met>thing,pur>thing)
нести,транспортировать	"MOVE WHILE HOLDING IN ONE'S ARMS OR ON THE BACK","MOVE WHILE SUPPORTING, EITHER IN A VEHICLE OR IN ONE'S HANDS OR ON ONE'S BODY"	carry(icl>do,plt>thing,plf>thing,agt>thing,obj>concrete_thing,opl>thing)+transport(icl>move>do,plt>thing,plf>thing,agt>thing,obj>thing)
держать,иметь,накапливать	"HAVE ON HAND"	carry(icl>have>do,equ>stock,agt>thing,obj>thing)+stock(icl>have>do,agt>volitional_thing,obj>concrete_thing)+stockpile(icl>have>do,equ>stock,agt>thing,obj>thing)
поддерживать,продолжать,хранить	"BE A SEQUEL TO","CAUSE TO REMAIN OR LAST","KEEP OR MAINTAIN IN UNALTERED CONDITION"	carry_on(icl>keep>be,equ>continue,obj>thing,aoj>thing)+continue(icl>be,equ>extend,obj>thing,aoj>thing)+preserve(icl>maintain>do,agt>thing,obj>thing,cag>thing)+uphold(icl>keep_up>do,agt>thing,obj>thing)
вести,проводить	"DIRECT THE COURSE OF","TO CARRY OUT A PARTICULAR ACTIVITY"	carry_on(icl>manage>do,equ>conduct,agt>thing,obj>thing)+conduct(icl>do,equ>manage,agt>volitional_thing,obj>thing)
выполнять,доводить до конца,осуществлять,проходить	"PURSUE TO A CONCLUSION OR BRING TO A SUCCESSFUL ISSUE"	carry_out(icl>complete>do,equ>follow_through,agt>thing,obj>thing)+follow_up(icl>complete>do,equ>follow_through,agt>thing,obj>thing)+put_through(icl>complete>do,equ>follow_through,agt>volitional_thing,obj>thing,gol>thing)
баул,портплед	"A CAPACIOUS BAG OR BASKET"	carryall(icl>bag>thing)+holdall(icl>bag>thing,equ>carryall)+tote(icl>bag>thing,equ>carryall)
картель,трест	"A CONSORTIUM OF INDEPENDENT ORGANIZATIONS FORMED TO LIMIT COMPETITION BY CONTROLLING THE PRODUCTION AND DISTRIBUTION OF A PRODUCT OR SERVICE"	cartel(icl>consortium>thing,equ>trust)+combine(icl>consortium>thing,equ>trust)+trust(icl>consortium>thing)
жесткий,хрящеватый	"DIFFICULT TO CHEW"	cartilaginous(icl>adj)+gristly(icl>adj,equ>cartilaginous)
делать карикатуру,окарикатуривать,рисовать карикатуру	"DRAW CARTOONS OF"	cartoon(icl>draw>do,agt>thing,obj>thing)
зарисовка,карикатура	"A HUMOROUS OR SATIRICAL DRAWING PUBLISHED IN A NEWSPAPER OR MAGAZINE"	cartoon(icl>wit>thing)+sketch(icl>wit>thing,equ>cartoon)
мультипликатор,художник-мультипликатор	"A PERSON WHO DRAWS CARTOONS"	cartoonist(icl>draftsman>thing)
ваять,высекать	"","CREATE BY SHAPING STONE OR WOOD OR ANY OTHER HARD MATERIAL"	carve(icl>shape>do,equ>sculpt,src>matter,agt>volitional_thing,obj>concrete_thing)+sculpt(icl>shape>do,cob>matter,agt>person,obj>thing)+sculpture(icl>shape>do,equ>sculpt,cob>matter,agt>thing,obj>concrete_thing,ins>thing)
делить,отделять,разбиваться,разделять,разделяться	"SEPARATE INTO PARTS OR PORTIONS","SEPARATE SMTH INTO PARTS"	carve_up(icl>change_integrity>do,equ>divide,agt>thing,obj>thing)+dissever(icl>change_integrity>do,equ>divide,cob>thing,agt>thing,obj>thing)+divide(icl>change>do,equ>separate,agt>thing,obj>thing,gol>thing,ins>thing)+separate(icl>change_integrity>do,equ>divide,agt>thing,obj>thing)+split(icl>occur,equ>divide,obj>concrete_thing,gol>thing,ins>thing)+split_up(icl>change_integrity>do,equ>divide,agt>thing,obj>thing,gol>thing)
ваятель,скульптор	"AN ARTIST WHO CREATES SCULPTURES"	carver(icl>artist>thing,equ>sculptor)+sculptor(icl>artist>thing)
ваяние,скульптура	"CREATING FIGURES OR DESIGNS IN THREE DIMENSIONS"	carving(icl>art>thing,equ>sculpture)+sculpture(icl>art>thing)
пример,случай	"AN OCCURRENCE OF SOMETHING"	case(icl>happening>thing)+example(icl>happening>thing,equ>case)+instance(icl>happening>thing,equ>case)
объект,случай	"A PERSON WHO IS SUBJECTED TO EXPERIMENTAL OR OTHER OBSERVATIONAL PROCEDURES"	case(icl>person)+subject(icl>concrete_thing,mod>thing)
загадка,проблема	"A PROBLEM REQUIRING INVESTIGATION"	case(icl>problem>thing)
дело,иск,судебное дело,тяжба	"A COMPREHENSIVE TERM FOR ANY PROCEEDING IN A COURT OF LAW WHEREBY AN INDIVIDUAL SEEKS A LEGAL REMEDY"	case(icl>proceeding>thing,equ>lawsuit)+cause(icl>proceeding>thing,equ>lawsuit)+lawsuit(icl>proceeding>thing)+suit(icl>proceeding>thing,equ>lawsuit)
образ,форма	"THE VISUAL APPEARANCE OF SOMETHING OR SOMEONE"	cast(icl>appearance>thing,equ>form)+form(icl>appearance>thing)+shape(icl>appearance>thing,equ>form)
опока,форма	"CONTAINER INTO WHICH LIQUID IS POURED TO CREATE A GIVEN SHAPE WHEN IT HARDENS"	cast(icl>container>thing,equ>mold)+mould(icl>container>thing,equ>mold)
блевать,выташнивать,извергать,изрыгать	"EJECT THE CONTENTS OF THE STOMACH THROUGH THE MOUTH"	cast(icl>vomit>do,agt>person)+disgorge(icl>excrete>do,equ>vomit,agt>living_thing,obj>matter)+purge(icl>excrete>occur,equ>vomit,obj>thing)+regorge(icl>excrete>do,equ>vomit,agt>living_thing,obj>matter)+vomit(icl>excrete>do,agt>living_thing,obj>matter)
выбрасывать,выгонять,выкидывать,отбрасывать	"THROW OR CAST AWAY","TO REMOVE OR GET RID OF SOMEONE OR SOMETHING"	cast_aside(icl>remove>do,plt>thing,agt>person,obj>concrete_thing)+chuck_out(icl>get_rid_of>do,equ>discard,agt>thing,obj>thing)+discard(icl>get_rid_of>do,plf>thing,agt>thing,obj>concrete_thing)+fling(icl>get_rid_of>do,equ>discard,agt>thing,obj>thing)+throw_out(icl>get_rid>do,plt>thing,plf>thing,agt>person,obj>concrete_thing)+toss(icl>get_rid_of>do,equ>discard,agt>thing,obj>thing)+toss_away(icl>get_rid_of>do,equ>discard,plt>thing,plf>thing,agt>thing,obj>concrete_thing)+toss_out(icl>throw_out>do,plt>thing,plf>thing,agt>person,obj>concrete_thing)
угнетать,удручать	"LOWER SOMEONE'S SPIRITS"	cast_down(icl>discourage>do,equ>depress,agt>thing,obj>thing)+deject(icl>discourage>do,equ>depress,agt>thing,obj>thing)+demoralize(icl>discourage>do,equ>depress,agt>thing,obj>thing)+depress(icl>discourage>do,agt>thing,obj>thing,met>thing)+dismay(icl>discourage>do,equ>depress,agt>thing,obj>thing)+dispirit(icl>discourage>do,equ>depress,agt>thing,obj>thing)+get_down(icl>discourage>do,equ>depress,agt>thing,obj>thing)
выбрасывать,избавляться,сбрасывать,стряхивать	"","GET RID OF","TO REMOVE OR GET RID OF SOMEONE OR SOMETHING"	cast_off(icl>remove>do,agt>person,obj>thing)+drop(icl>remove>do,equ>shed,agt>thing,obj>thing)+kick_off(icl>do,equ>shake_off,agt>thing,obj>thing)+shake_off(icl>remove>do,equ>shed,agt>thing,obj>thing)+shed(icl>get_rid>do,agt>volitional_thing,obj>abstract_thing)+throw_away(icl>get_rid>do,agt>person,obj>thing)+throw_off(icl>move_off>do,agt>person,obj>thing)
изгнанник,изгой,отверженный,пария	"A PERSON WHO IS REJECTED (FROM SOCIETY OR HOME)"	castaway(icl>unfortunate>thing,equ>outcast)+outcast(icl>unfortunate>thing)+pariah(icl>unfortunate>thing,equ>outcast)
изгнанница,отверженная	"A WOMAN WHO IS REJECTED (FROM SOCIETY OR HOME)"	castaway(icl>unfortunate>thing,equ>outcast,mod>female)
изгнанник,отверженный	"A MAN WHO IS REJECTED (FROM SOCIETY OR HOME)"	castaway(icl>unfortunate>thing,equ>outcast,mod>male)
вставлять,карать,отчитывать	"CENSURE SEVERELY"	castigate(icl>call_on_the_carpet>do,equ>chastise,rsn>thing,agt>volitional_thing,obj>thing)+chasten(icl>call_on_the_carpet>do,equ>chastise,agt>thing,obj>thing)+chastise(icl>call_on_the_carpet>do,rsn>thing,agt>volitional_thing,obj>thing)+correct(icl>call_on_the_carpet>do,equ>chastise,agt>thing,obj>thing)+objurgate(icl>call_on_the_carpet>do,equ>chastise,agt>thing,obj>thing)
замок,крепость	"A LARGE BUILDING FORMERLY OCCUPIED BY A RULER AND FORTIFIED AGAINST ATTACK"	castle(icl>fortification>thing)
дворец,замок	"A LARGE AND STATELY MANSION"	castle(icl>mansion>thing,equ>palace)+palace(icl>mansion>thing)
евнух,кастрат	"A MAN WHO HAS BEEN CASTRATED AND IS INCAPABLE OF REPRODUCTION"	castrate(icl>man>thing,equ>eunuch)+eunuch(icl>man>thing)
оскоплять,холостить	"REMOVE THE TESTICLES OF A MALE ANIMAL"	castrate(icl>sterilize>do,equ>emasculate,agt>thing,obj>concrete_thing,ins>thing)+demasculinize(icl>sterilize>do,equ>emasculate,agt>thing,obj>thing)+emasculate(icl>sterilize>do,agt>thing,obj>thing)
кромсание,подчистка	"THE DELETION OF OBJECTIONABLE PARTS FROM A LITERARY WORK"	castration(icl>deletion>thing,equ>expurgation)+expurgation(icl>deletion>thing)
выхолащивание,кастрация,холощение	"NEUTERING A MALE ANIMAL BY REMOVING THE TESTICLES"	castration(icl>neutering>thing)+emasculation(icl>neutering>thing,equ>castration)
нечаянный,случайный	"OCCURRING OR APPEARING OR SINGLED OUT BY CHANCE"	casual(icl>adj,equ>accidental)
казуист,софист	"SOMEONE WHOSE REASONING IS SUBTLE AND OFTEN SPECIOUS"	casuist(icl>reasoner>thing)+sophist(icl>reasoner>thing,equ>casuist)
компьютерная томография,кт	"A METHOD OF EXAMINING BODY ORGANS BY SCANNING THEM WITH X RAYS AND USING A COMPUTER TO CONSTRUCT A SERIES OF CROSS-SECTIONAL SCANS ALONG A SINGLE AXIS"	cat(icl>x-raying>thing,equ>computerized_tomography)
диссимиляция,катаболизм	"BREAKDOWN IN LIVING ORGANISMS OF MORE COMPLEX SUBSTANCES INTO SIMPLER ONES TOGETHER WITH RELEASE OF ENERGY"	catabolism(icl>organic_process>thing,ant>anabolism)+dissimilation(icl>organic_process>thing,equ>catabolism,ant>anabolism)
кугуар,пума	"LARGE AMERICAN FELINE RESEMBLING A LION"	catamount(icl>wildcat>thing,equ>cougar)+cougar(icl>wildcat>thing)+painter(icl>wildcat>thing,equ>cougar)+panther(icl>wildcat>thing,equ>cougar)+puma(icl>wildcat>thing,equ>cougar)
катафорез,электрофорез	"THE MOTION OF CHARGED PARTICLES IN A COLLOID UNDER THE INFLUENCE OF AN ELECTRIC FIELD"	cataphoresis(icl>natural_process>thing,equ>electrophoresis)+electrophoresis(icl>natural_process>thing)
запускать,швырять	"HURL AS IF WITH A SLING"	catapult(icl>hurl>do,equ>sling,plf>thing,agt>thing,obj>concrete_thing)+sling(icl>hurl>do,plf>thing,agt>thing,obj>concrete_thing)
беда,катастрофа	"A STATE OF EXTREME (USUALLY IRREMEDIABLE) RUIN AND MISFORTUNE"	catastrophe(icl>adversity>thing)+disaster(icl>adversity>thing,equ>catastrophe)
катастрофический,разорительный	"EXTREMELY HARMFUL"	catastrophic(icl>adj)+ruinous(icl>adj,equ>catastrophic)
заставать,застигать	"DISCOVER A PERSON IN AN ACT OF WRONGDOING"	catch(icl>discover>do,agt>person,obj>person,coo>uw)
зацепить,уловить	"CAUSE TO BECOME ACCIDENTALLY OR SUDDENLY CAUGHT, ENSNARED, OR ENTANGLED"	catch(icl>entangle>do,plt>thing,agt>person,obj>thing)
защелка,шпингалет	"A FASTENER THAT FASTENS OR LOCKS A DOOR OR WINDOW"	catch(icl>fastener>thing)
поймать,успевать на что-либо	"REACH IN TIME"	catch(icl>get_on>do,plt>thing,agt>person,obj>transport)
догонять,нагонять	"CATCH UP WITH AND POSSIBLY OVERTAKE"	catch(icl>overtake>do,agt>thing,cag>thing)+overtake(icl>reach>do,agt>thing,obj>thing)
ограничитель,упор	"A RESTRAINT THAT CHECKS THE MOTION OF SOMETHING"	catch(icl>restraint>thing)+stop(icl>restraint>thing,equ>catch)
поймать,схватывать,хватать	"TAKE HOLD OF SO AS TO SEIZE OR RESTRAIN OR STOP THE MOTION OF"	catch(icl>seize>do,agt>person,obj>thing,ins>thing(pof>body))+grab(icl>seize>do,equ>catch,agt>living_thing,obj>concrete_thing)
